log_size,TL
12.238573,1.551663837
12.238573,1.452291316
12.238573,1.311564114
12.238573,1.500570208
12.238573,1.619581065
12.238573,1.430462948
12.238573,1.743041191
16.569861,1.596399021
16.569861,1.51234644
16.569861,1.17690517
16.569861,1.191012827
16.569861,1.364204876
16.569861,1.406379345
16.569861,1.35793615
19.209466,1.433914076
19.209466,1.365528792
19.209466,1.619965433
19.209466,1.492149519
19.209466,1.450988469
19.209466,1.476313988
19.209466,1.499663351
23.343963,2.171149951
23.343963,1.939088149
23.343963,2.090108828
23.343963,2.097844969
23.343963,2.020411794
23.343963,2.05533882
23.343963,2.107190421
28.237909,1.382781144
28.237909,1.513690381
28.237909,1.376193891
28.237909,1.557567987
28.237909,1.437037528
28.237909,1.482460772
28.237909,1.546702603
