log_size,density
5,35.1474385
5.5,34.95014656
6,36.64025037
6.5,35.95508241
7,34.84613053
7.5,37.32207773
8,35.16147818
8.5,35.24468909
9,37.22871576
9.5,35.15009602
10,36.94941721
10.5,35.53810137
11,35.80268313
11.5,36.01816329
12,34.33031008
12.5,34.33445116
13,35.03315308
13.5,34.28841124
14,34.45841185
14.5,34.36358051
15,31.7639831
15.5,35.15295613
16,32.54659681
16.5,31.65313185
17,30.76912416
17.5,30.88827467
18,30.43528277
18.5,30.92534096
19,30.19376949
19.5,29.57480577
20,29.1300952
20.5,27.54754014
21,28.22257919
21.5,27.20210386
22,27.12943003
22.5,27.60948873
23,26.31200854
23.5,26.50260224
24,25.56946249
24.5,24.36636162
25,26.01068433
25.5,23.26920845
26,23.88711635
26.5,23.19442016
27,23.4591736
27.5,22.86827047
28,22.21430497
28.5,22.05439848
29,22.67294998
29.5,21.36823523
30,22.10869462
